scenario;vitesse_cible_kmh;vitesse_cible_mph;troncon;km_a_rectifier;mille_a_rectifier;pct_troncon;n_sites;degre_courbure_cible_max_deg;rayon_cible_m
S1;160;99.4;MTL-QC;94.9;58.9;35.2;24;1.0;1744
S1;160;99.4;MTL-Ott;56.0;34.8;30.4;19;1.0;1744
S1;160;99.4;Ott-TO;94.8;58.9;21.4;46;1.0;1744
S1;160;99.4;MTL-TO;79.8;49.6;14.9;46;1.0;1744
S1;200;124.3;MTL-QC;151.9;94.4;56.4;28;0.64;2724
S1;200;124.3;MTL-Ott;80.0;49.7;43.3;21;0.64;2724
S1;200;124.3;Ott-TO;201.6;125.2;45.6;55;0.64;2724
S1;200;124.3;MTL-TO;186.2;115.7;34.8;63;0.64;2724
S1;250;155.3;MTL-QC;258.1;160.4;95.9;9;0.41;4257
S1;250;155.3;MTL-Ott;107.6;66.9;58.3;21;0.41;4257
S1;250;155.3;Ott-TO;333.0;206.9;75.4;35;0.41;4257
S1;250;155.3;MTL-TO;391.2;243.1;73.1;45;0.41;4257
S1;300;186.4;MTL-QC;261.3;162.3;97.0;7;0.28;6130
S1;300;186.4;MTL-Ott;131.7;81.8;71.4;17;0.28;6130
S1;300;186.4;Ott-TO;383.3;238.2;86.7;24;0.28;6130
S1;300;186.4;MTL-TO;457.3;284.1;85.4;35;0.28;6130
S2;160;99.4;MTL-QC;48.8;30.3;18.1;23;1.59;1100
S2;160;99.4;MTL-Ott;21.5;13.3;11.6;16;1.59;1100
S2;160;99.4;Ott-TO;25.5;15.8;5.8;23;1.59;1100
S2;160;99.4;MTL-TO;26.0;16.2;4.9;24;1.59;1100
S2;200;124.3;MTL-QC;87.4;54.3;32.4;24;1.02;1719
S2;200;124.3;MTL-Ott;52.3;32.5;28.3;18;1.02;1719
S2;200;124.3;Ott-TO;66.6;41.4;15.1;49;1.02;1719
S2;200;124.3;MTL-TO;61.1;38.0;11.4;48;1.02;1719
S2;250;155.3;MTL-QC;123.8;76.9;46.0;32;0.65;2685
S2;250;155.3;MTL-Ott;68.1;42.3;36.9;22;0.65;2685
S2;250;155.3;Ott-TO;155.3;96.5;35.2;66;0.65;2685
S2;250;155.3;MTL-TO;151.9;94.4;28.4;74;0.65;2685
S2;300;186.4;MTL-QC;196.3;122.0;72.9;21;0.45;3867
S2;300;186.4;MTL-Ott;92.3;57.4;50.1;22;0.45;3867
S2;300;186.4;Ott-TO;270.0;167.8;61.1;49;0.45;3867
S2;300;186.4;MTL-TO;285.7;177.5;53.4;65;0.45;3867
S3;160;99.4;MTL-QC;18.3;11.4;6.8;12;2.26;773
S3;160;99.4;MTL-Ott;10.2;6.3;5.5;8;2.26;773
S3;160;99.4;Ott-TO;16.3;10.1;3.7;16;2.26;773
S3;160;99.4;MTL-TO;14.3;8.9;2.7;14;2.26;773
S3;200;124.3;MTL-QC;75.9;47.2;28.2;22;1.45;1208
S3;200;124.3;MTL-Ott;50.1;31.1;27.2;13;1.45;1208
S3;200;124.3;Ott-TO;30.3;18.8;6.9;26;1.45;1208
S3;200;124.3;MTL-TO;29.7;18.5;5.6;25;1.45;1208
S3;250;155.3;MTL-QC;115.0;71.4;42.7;25;0.93;1887
S3;250;155.3;MTL-Ott;59.0;36.7;32.0;20;0.93;1887
S3;250;155.3;Ott-TO;114.3;71.0;25.9;55;0.93;1887
S3;250;155.3;MTL-TO;102.0;63.4;19.1;59;0.93;1887
S3;300;186.4;MTL-QC;149.7;93.0;55.6;28;0.64;2717
S3;300;186.4;MTL-Ott;79.9;49.7;43.3;20;0.64;2717
S3;300;186.4;Ott-TO;182.6;113.5;41.3;56;0.64;2717
S3;300;186.4;MTL-TO;183.3;113.9;34.3;65;0.64;2717
