scenario;vitesse_cible_kmh;vitesse_cible_mph;troncon;km_debut;km_fin;mille_debut;mille_fin;longueur_km;longueur_mille;degre_courbure_actuel_max_deg;R_actuel_min_m;degre_courbure_cible_max_deg;rayon_cible_m;gare_amont;gare_aval
S1;160;99.4;MTL-QC;0.0;2.91;0.0;1.81;2.89;1.8;5.41;323;1.0;1744;Montréal;Saint-Lambert
S1;160;99.4;MTL-QC;29.81;31.22;18.52;19.4;1.4;0.87;3.5;499;1.0;1744;Saint-Lambert;Saint-Hyacinthe
S1;160;99.4;MTL-QC;32.51;34.62;20.2;21.51;2.1;1.3;1.94;901;1.0;1744;Saint-Lambert;Saint-Hyacinthe
S1;160;99.4;MTL-QC;54.35;56.74;33.77;35.26;2.39;1.49;1.75;1000;1.0;1744;Saint-Hyacinthe;Drummondville
S1;160;99.4;MTL-QC;58.44;62.6;36.31;38.9;4.14;2.57;1.47;1189;1.0;1744;Saint-Hyacinthe;Drummondville
S1;160;99.4;MTL-QC;66.89;69.44;41.56;43.15;2.54;1.58;1.54;1135;1.0;1744;Saint-Hyacinthe;Drummondville
S1;160;99.4;MTL-QC;99.75;101.25;61.98;62.91;1.48;0.92;1.51;1157;1.0;1744;Saint-Hyacinthe;Charny
S1;160;99.4;MTL-QC;101.75;102.24;63.22;63.53;0.49;0.3;1.15;1523;1.0;1744;Drummondville;Charny
S1;160;99.4;MTL-QC;102.27;103.32;63.55;64.2;1.03;0.64;2.19;799;1.0;1744;Drummondville;Charny
S1;160;99.4;MTL-QC;108.15;115.87;67.2;72.0;7.68;4.77;2.06;848;1.0;1744;Drummondville;Charny
S1;160;99.4;MTL-QC;116.22;126.23;72.22;78.44;9.96;6.19;1.9;920;1.0;1744;Drummondville;Charny
S1;160;99.4;MTL-QC;129.02;130.42;80.17;81.04;1.39;0.86;1.2;1459;1.0;1744;Drummondville;Charny
S1;160;99.4;MTL-QC;149.93;151.97;93.16;94.43;2.03;1.26;3.38;516;1.0;1744;Drummondville;Charny
S1;160;99.4;MTL-QC;157.56;161.52;97.9;100.36;3.94;2.45;2.23;782;1.0;1744;Drummondville;Charny
S1;160;99.4;MTL-QC;169.25;193.5;105.17;120.24;24.19;15.03;2.72;641;1.0;1744;Drummondville;Charny
S1;160;99.4;MTL-QC;201.75;211.68;125.36;131.53;9.92;6.16;1.84;951;1.0;1744;Drummondville;Charny
S1;160;99.4;MTL-QC;224.76;225.33;139.66;140.01;0.57;0.35;1.19;1468;1.0;1744;Drummondville;Charny
S1;160;99.4;MTL-QC;242.96;243.86;150.97;151.53;0.89;0.55;1.03;1688;1.0;1744;Drummondville;Charny
S1;160;99.4;MTL-QC;244.17;246.84;151.72;153.38;2.64;1.64;3.88;450;1.0;1744;Drummondville;Sainte-Foy
S1;160;99.4;MTL-QC;249.18;251.47;154.83;156.26;2.28;1.42;4.55;384;1.0;1744;Charny;Sainte-Foy
S1;160;99.4;MTL-QC;253.31;258.35;157.4;160.53;4.94;3.07;5.6;312;1.0;1744;Sainte-Foy;Québec
S1;160;99.4;MTL-QC;259.29;262.76;161.12;163.27;3.4;2.11;4.16;420;1.0;1744;Sainte-Foy;Québec
S1;160;99.4;MTL-QC;267.23;269.32;166.05;167.35;2.08;1.29;4.56;383;1.0;1744;Sainte-Foy;Québec
S1;160;99.4;MTL-QC;270.61;271.1;168.15;168.45;0.49;0.3;1.15;1517;1.0;1744;Sainte-Foy;Québec
S1;160;99.4;MTL-Ott;0.0;5.68;0.0;3.53;5.61;3.49;4.63;377;1.0;1744;Montréal;Dorval
S1;160;99.4;MTL-Ott;9.92;10.67;6.16;6.63;0.74;0.46;1.06;1655;1.0;1744;Montréal;Dorval
S1;160;99.4;MTL-Ott;14.45;14.95;8.98;9.29;0.5;0.31;1.73;1012;1.0;1744;Montréal;Dorval
S1;160;99.4;MTL-Ott;15.36;16.57;9.54;10.3;1.21;0.75;1.0;1743;1.0;1744;Montréal;Dorval
S1;160;99.4;MTL-Ott;17.76;17.8;11.04;11.06;0.04;0.02;1.08;1611;1.0;1744;Montréal;Dorval
S1;160;99.4;MTL-Ott;34.8;36.29;21.62;22.55;1.46;0.91;3.42;511;1.0;1744;Aéroport Montréal Pierre-Elliott Trudeau;Coteau
S1;160;99.4;MTL-Ott;43.58;43.62;27.08;27.1;0.04;0.02;1.31;1334;1.0;1744;Aéroport Montréal Pierre-Elliott Trudeau;Coteau
S1;160;99.4;MTL-Ott;61.78;63.79;38.39;39.64;2.0;1.24;3.28;532;1.0;1744;Aéroport Montréal Pierre-Elliott Trudeau;Alexandria
S1;160;99.4;MTL-Ott;80.48;81.65;50.01;50.73;1.17;0.73;1.32;1323;1.0;1744;Coteau;Alexandria
S1;160;99.4;MTL-Ott;83.64;85.57;51.97;53.17;1.9;1.18;3.09;566;1.0;1744;Coteau;Alexandria
S1;160;99.4;MTL-Ott;87.16;98.63;54.16;61.29;11.46;7.12;1.76;994;1.0;1744;Coteau;Alexandria
S1;160;99.4;MTL-Ott;99.84;106.15;62.04;65.96;6.26;3.89;2.96;590;1.0;1744;Alexandria;Casselman
S1;160;99.4;MTL-Ott;108.07;111.76;67.15;69.44;3.64;2.26;3.2;545;1.0;1744;Alexandria;Casselman
S1;160;99.4;MTL-Ott;112.96;115.69;70.19;71.89;2.72;1.69;1.84;949;1.0;1744;Alexandria;Casselman
S1;160;99.4;MTL-Ott;117.27;121.15;72.87;75.28;3.88;2.41;1.51;1158;1.0;1744;Alexandria;Casselman
S1;160;99.4;MTL-Ott;121.4;127.33;75.43;79.12;5.92;3.68;1.88;929;1.0;1744;Alexandria;Casselman
