troncon;region;de;a;km_debut;km_fin;longueur_km;cellule;part_simple_pct;part_double_plus_pct;t_horaire_med_min;n_sillons;t_base_S1cap160_min;marge_pct;marge_min_par_100km;dispersion_iqr_min;dispersion_iqr_pct;doublon_physique_de;exclue_du_2x2;note
MTL-QC;coeur;Montréal;Saint-Lambert;0.0;6.11;6.1;double-CN;16;84;11.0;17;3.4;225.0;124.6;10.0;90.9;;bloc urbain (pont Victoria);
MTL-QC;coeur;Saint-Lambert;Saint-Hyacinthe;6.11;53.24;47.1;double-CN;0;100;26.0;13;18.2;42.7;16.5;1.0;3.8;;adjacente au pont Victoria;
MTL-QC;coeur;Saint-Hyacinthe;Drummondville;53.24;100.01;46.8;simple-CN;92;8;31.0;13;18.0;72.4;27.8;9.0;29.0;;;
MTL-QC;coeur;Drummondville;Charny;100.01;245.04;145.0;simple-CN;100;0;97.0;7;60.3;60.8;25.3;10.0;10.3;;;
MTL-QC;coeur;Charny;Sainte-Foy;245.04;249.98;4.9;simple-CN;100;0;6.0;7;2.6;135.1;69.8;0.0;0.0;;adjacente au pont de Québec;
MTL-QC;coeur;Sainte-Foy;Québec;249.98;269.85;19.9;mixte;65;35;24.0;15;10.9;120.9;66.1;0.0;0.0;;bloc urbain (pont de Québec);
MTL-Ott;coeur;Montréal;Dorval;0.0;17.79;17.8;double-CN;21;79;21.0;29;8.5;147.6;70.4;2.0;9.5;;bloc urbain;
MTL-Ott;coeur;Dorval;Coteau;17.79;62.28;44.5;double-CN;0;100;24.0;8;16.8;42.7;16.1;1.0;4.2;;;
MTL-Ott;coeur;Coteau;Alexandria;62.28;99.43;37.2;simple-VIA;98;2;23.5;8;15.8;49.1;20.8;5.0;21.3;;;
MTL-Ott;coeur;Alexandria;Casselman;99.43;138.78;39.3;simple-VIA;100;0;21.0;8;16.9;24.0;10.3;1.0;4.8;;;
MTL-Ott;coeur;Casselman;Ottawa;138.78;185.42;46.6;simple-VIA;100;0;26.0;8;18.3;42.0;16.5;1.0;3.8;;;contient l'approche d'Ottawa (±10 km urbains)
Ott-TO;coeur;Ottawa;Fallowfield;0.0;15.38;15.4;simple-VIA;93;7;17.0;22;6.6;158.4;67.8;0.0;0.0;;bloc urbain (approche d'Ottawa);
Ott-TO;coeur;Fallowfield;Smiths Falls;15.38;64.62;49.2;simple-VIA;100;0;27.5;12;18.5;48.7;18.3;4.0;14.5;;;
Ott-TO;coeur;Smiths Falls;Brockville;64.62;110.0;45.4;simple-VIA;100;0;28.0;12;18.5;51.7;21.0;2.0;7.1;;;
Ott-TO;coeur;Brockville;Gananoque;110.0;155.83;45.8;double-CN;2;98;23.5;4;17.7;33.1;12.7;1.0;4.3;;;
Ott-TO;coeur;Gananoque;Kingston;155.83;191.99;36.2;double-CN;0;100;20.5;4;14.6;40.2;16.2;2.0;9.8;;;
Ott-TO;coeur;Kingston;Napanee;191.99;227.49;35.5;double-CN;0;100;20.0;7;13.9;44.3;17.3;1.0;5.0;;;
Ott-TO;coeur;Napanee;Belleville;227.49;262.44;34.9;double-CN;0;100;18.0;7;13.2;36.3;13.7;1.0;5.6;;;
Ott-TO;coeur;Belleville;Trenton Junction;262.44;281.92;19.5;double-CN;0;100;11.0;8;7.3;51.4;19.2;2.0;18.2;;;
Ott-TO;coeur;Trenton Junction;Cobourg;281.92;332.06;50.1;double-CN;0;100;24.5;8;18.7;30.9;11.5;4.0;16.3;;;
Ott-TO;coeur;Cobourg;Port Hope;332.06;342.88;10.8;double-CN;0;100;7.0;9;4.7;48.6;21.2;0.0;0.0;;;
Ott-TO;coeur;Port Hope;Oshawa;342.88;393.31;50.4;double-CN;0;100;26.0;9;19.6;32.8;12.7;3.0;11.5;;;
Ott-TO;coeur;Oshawa;Guildwood;393.31;423.93;30.6;double-CN;2;98;16.0;18;11.4;40.8;15.1;1.0;6.2;;chevauche une frontière de propriétaire (CN 68%);
Ott-TO;coeur;Guildwood;Toronto;423.93;444.05;20.1;double-MTX;4;96;18.0;19;8.1;123.2;49.4;2.0;11.1;;bloc urbain;
TO-WDN;sud-ouest;Toronto;Oakville;0.0;34.06;34.1;double-MTX;0;100;24.0;13;13.4;78.8;31.0;1.0;4.2;;banlieue Toronto (Metrolinx) : cellule indicative;
TO-WDN;sud-ouest;Oakville;Aldershot;34.06;57.09;23.0;double-MTX;0;100;13.0;12;8.6;50.4;18.9;1.0;7.7;;chevauche une frontière de propriétaire (MTX 70%);
TO-WDN;sud-ouest;Aldershot;Brantford;57.09;96.23;39.1;double-CN;4;96;28.0;11;16.0;74.8;30.6;2.0;7.1;;;
TO-WDN;sud-ouest;Brantford;Woodstock;96.23;138.87;42.6;double-CN;0;100;28.0;11;16.7;67.4;26.4;2.0;7.1;;;
TO-WDN;sud-ouest;Woodstock;Ingersoll;138.87;153.96;15.1;double-CN;0;100;12.0;8;5.6;114.1;42.4;1.0;8.3;;;
TO-WDN;sud-ouest;Ingersoll;London;153.96;184.49;30.5;double-CN;0;100;20.5;8;11.6;76.6;29.1;1.0;4.9;;;
TO-WDN;sud-ouest;London;Glencoe;184.49;233.71;49.2;mixte;66;34;30.0;6;18.4;62.9;23.5;4.0;13.3;;;
TO-WDN;sud-ouest;Glencoe;Chatham;233.71;288.16;54.5;mixte;41;59;32.5;6;20.4;59.3;22.2;2.0;6.2;;;
TO-WDN;sud-ouest;Chatham;Windsor;288.16;358.75;70.6;simple-VIA;100;0;44.5;8;26.4;68.8;25.7;7.0;15.7;;;
TO-SAR;sud-ouest;Toronto;Malton;0.0;25.65;25.6;double-MTX;0;100;20.0;3;9.7;105.9;40.1;;;;banlieue Toronto (Metrolinx) : cellule indicative;
TO-SAR;sud-ouest;Malton;Brampton;25.65;34.12;8.5;double-CN;0;100;11.0;3;3.1;251.7;92.9;;;;banlieue Toronto (Metrolinx) : cellule indicative;
TO-SAR;sud-ouest;Brampton;Georgetown;34.12;47.09;13.0;double-CN;0;100;9.5;4;4.8;96.8;36.0;1.0;10.5;;;
TO-SAR;sud-ouest;Georgetown;Guelph;47.09;78.41;31.3;simple-MTX;95;5;23.5;4;12.0;95.6;36.7;3.0;12.8;;;
TO-SAR;sud-ouest;Guelph;Kitchener;78.41;101.06;22.7;simple-MTX;84;16;24.5;4;8.4;190.0;70.9;5.0;20.4;;;
TO-SAR;sud-ouest;Kitchener;Stratford;101.06;142.16;41.1;simple-CN;97;3;35.0;4;15.6;124.0;47.1;0.0;0.0;;;
TO-SAR;sud-ouest;Stratford;St. Marys;142.16;160.16;18.0;simple-CN;100;0;24.0;4;7.5;219.1;91.5;4.0;16.7;;;
TO-SAR;sud-ouest;St. Marys;London;160.16;194.61;34.5;simple-CN;97;3;47.0;4;13.5;247.5;97.2;4.0;8.5;;;
TO-SAR;sud-ouest;London;Strathroy;194.61;225.4;30.8;double-CN;18;82;22.0;2;11.9;85.4;32.9;;;;;
TO-SAR;sud-ouest;Strathroy;Sarnia;225.4;289.46;64.1;mixte;63;37;45.0;2;24.5;83.8;32.0;;;;;
MTL-TO;coeur;Montréal;Dorval;0.0;17.79;17.8;double-CN;21;79;21.0;29;8.5;147.3;70.3;2.0;9.5;MTL-Ott;bloc urbain;
MTL-TO;coeur;Dorval;Cornwall;17.79;112.76;95.0;double-CN;0;100;47.5;12;35.6;33.5;12.6;3.0;6.3;;;
MTL-TO;coeur;Cornwall;Brockville;112.76;204.72;92.0;double-CN;0;100;45.5;4;34.4;32.3;12.1;5.0;11.0;;;
MTL-TO;coeur;Brockville;Gananoque;204.72;249.75;45.0;double-CN;0;100;23.5;4;17.0;37.9;14.4;1.0;4.3;Ott-TO;;
MTL-TO;coeur;Gananoque;Kingston;249.75;285.97;36.2;double-CN;0;100;20.5;4;14.9;37.4;15.4;2.0;9.8;Ott-TO;;
MTL-TO;coeur;Kingston;Napanee;285.97;321.47;35.5;double-CN;0;100;20.0;7;13.8;44.7;17.4;1.0;5.0;Ott-TO;;
MTL-TO;coeur;Napanee;Belleville;321.47;356.42;34.9;double-CN;0;100;18.0;7;13.2;36.1;13.7;1.0;5.6;Ott-TO;;
MTL-TO;coeur;Belleville;Trenton Junction;356.42;375.9;19.5;double-CN;0;100;11.0;8;7.3;51.4;19.2;2.0;18.2;Ott-TO;;
MTL-TO;coeur;Trenton Junction;Cobourg;375.9;426.05;50.2;double-CN;0;100;24.5;8;18.7;30.9;11.5;4.0;16.3;Ott-TO;;
MTL-TO;coeur;Cobourg;Port Hope;426.05;436.86;10.8;double-CN;0;100;7.0;9;4.6;51.1;21.9;0.0;0.0;Ott-TO;;
MTL-TO;coeur;Port Hope;Oshawa;436.86;487.24;50.4;double-CN;0;100;26.0;9;19.6;32.4;12.6;3.0;11.5;Ott-TO;;
MTL-TO;coeur;Oshawa;Guildwood;487.24;517.94;30.7;double-CN;2;98;16.0;18;11.4;40.4;15.0;1.0;6.2;Ott-TO;chevauche une frontière de propriétaire (CN 68%);
MTL-TO;coeur;Guildwood;Toronto;517.94;538.06;20.1;double-MTX;4;96;18.0;19;7.9;127.6;50.2;2.0;11.1;Ott-TO;bloc urbain;
