scenario;troncon;bande_kmh;n_passages
S1;MTL-QC;≤153;94
S1;MTL-QC;154-177;35
S1;MTL-QC;178-201;62
S1;MTL-QC;>201;131
S1;MTL-Ott;≤153;72
S1;MTL-Ott;154-177;13
S1;MTL-Ott;178-201;39
S1;MTL-Ott;>201;84
S1;Ott-TO;≤153;13
S1;Ott-TO;154-177;60
S1;Ott-TO;178-201;70
S1;Ott-TO;>201;158
S1;MTL-TO;≤153;8
S1;MTL-TO;154-177;60
S1;MTL-TO;178-201;54
S1;MTL-TO;>201;243
S1;CORRIDOR (dédoublonné);≤153;179
S1;CORRIDOR (dédoublonné);154-177;111
S1;CORRIDOR (dédoublonné);178-201;163
S1;CORRIDOR (dédoublonné);>201;471
S2;MTL-QC;≤153;16
S2;MTL-QC;154-177;77
S2;MTL-QC;178-201;18
S2;MTL-QC;>201;211
S2;MTL-Ott;≤153;19
S2;MTL-Ott;154-177;53
S2;MTL-Ott;178-201;1
S2;MTL-Ott;>201;135
S2;Ott-TO;≤153;10
S2;Ott-TO;154-177;2
S2;Ott-TO;178-201;39
S2;Ott-TO;>201;250
S2;MTL-TO;≤153;4
S2;MTL-TO;154-177;4
S2;MTL-TO;178-201;31
S2;MTL-TO;>201;326
S2;CORRIDOR (dédoublonné);≤153;42
S2;CORRIDOR (dédoublonné);154-177;136
S2;CORRIDOR (dédoublonné);178-201;51
S2;CORRIDOR (dédoublonné);>201;695
S3;MTL-QC;≤153;7
S3;MTL-QC;154-177;4
S3;MTL-QC;178-201;78
S3;MTL-QC;>201;233
S3;MTL-Ott;≤153;7
S3;MTL-Ott;154-177;9
S3;MTL-Ott;178-201;54
S3;MTL-Ott;>201;138
S3;Ott-TO;≤153;10
S3;Ott-TO;154-177;0
S3;Ott-TO;178-201;0
S3;Ott-TO;>201;291
S3;MTL-TO;≤153;3
S3;MTL-TO;154-177;0
S3;MTL-TO;178-201;5
S3;MTL-TO;>201;357
S3;CORRIDOR (dédoublonné);≤153;20
S3;CORRIDOR (dédoublonné);154-177;13
S3;CORRIDOR (dédoublonné);178-201;137
S3;CORRIDOR (dédoublonné);>201;754
