tc_number;troncon_principal;km_segment;subdivision;mille;localisation;acces;juridiction;autorite_routiere;protection;trains_jour;vehicules_jour;voies_route;urbain;vmax_S1_kmh;vmax_S2_kmh;vmax_S3_kmh;bande_S1;bande_S2;bande_S3;intervention;dist_trace_m
14523;Ott-TO;43.55;Smiths Falls;23.45;Montague Boundary Rd;Public;F;Montague (ON);Active - FLBG;12;50;2;N;199.9;251.7;300.2;178-201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.0
300161;Ott-TO;121.27;Kingston - CN;132.87;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.0
45935;MTL-Ott;121.4;Alexandria - VIA;39.53;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.1;160.0;190.9;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.0
52296;MTL-Ott;75.71;Alexandria - VIA;9.44;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;251.0;316.1;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.0
7998;Ott-TO;110.03;Kingston - CN;125.65;Perth St;Public;F;Brockville (ON);Active - FLBG;40;8300;2;Y;76.1;95.8;114.3;≤153;≤153;≤153;complexe (urbain / multi-voies / autorité provinciale);0.0
142581;MTL-QC;36.3;St-Hyacinthe;45.0;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.0
140736;MTL-QC;94.39;Drummondville;101.85;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;200.5;252.5;301.2;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.0
7949;MTL-TO;108.68;Kingston - CN;66.51;Tenth St;Public;F;Cornwall (ON);Active - FLBG;40;1000;2;N;239.7;301.8;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.0
52298;MTL-Ott;79.19;Alexandria - VIA;10.34;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;243.4;306.5;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.0
19660;Ott-TO;97.13;Brockville - VIA;22.57;Fairfield Rd;Public;F;Elizabethtown-Kitley (ON);Active - FLBG;12;300;2;N;250.9;315.9;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.1
51408;MTL-TO;59.06;Kingston - CN;35.87;Ferme;Private;F;Private Road Authority #1;Passive;54;2;1;N;199.4;251.0;299.4;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
35919;Ott-TO;97.13;Brockville - VIA;25.8;Laurier Blvd;Public;F;Brockville (ON);Active - FLBG;12;3400;2;Y;250.9;315.9;360.0;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);0.1
45905;MTL-Ott;87.16;Alexandria - VIA;21.9;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.3;160.2;191.1;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
140744;MTL-QC;80.87;Drummondville;106.48;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.6;251.4;299.8;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
4823;MTL-QC;132.42;Drummondville;74.11;Chemin Du 10 Rang;Public;F;Saint-Wenceslas (QC);Active - FLBG;27;210;2;N;202.2;254.6;303.7;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);0.1
45686;MTL-TO;192.49;Kingston - CN;119.98;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;239.0;300.9;358.9;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
45884;MTL-Ott;87.16;Alexandria - VIA;16.04;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.3;160.2;191.1;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
8147;MTL-TO;378.16;Kingston - CN;233.67;2nd Dug Hill Rd (Trenton);Public;F;Quinte West (ON);Active - FLBG;40;2996;2;N;173.8;218.8;261.0;154-177;>201;>201;standard (municipal, ≤2 voies, non urbain);0.1
45873;MTL-Ott;82.75;Alexandria - VIA;12.9;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;160.6;202.2;241.2;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
51934;Ott-TO;23.4;Smiths Falls;9.46;Farm Crossing;Private;F;Private Road Authority #1;Other;12;-;-;N;198.7;250.2;298.5;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
36123;MTL-QC;251.48;Bridge;4.59;Ch. Plage J.-Cartier;Public;F;Québec (QC);Active - FLBG;13;240;2;Y;240.1;302.4;360.0;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);0.1
4815;MTL-QC;151.98;Drummondville;64.03;Chemin Des Cyprès;Public;F;Lemieux (QC);Active - FLBG;27;296;2;N;160.1;201.5;240.4;154-177;>201;>201;standard (municipal, ≤2 voies, non urbain);0.1
8069;MTL-TO;306.17;Kingston - CN;190.13;County Rd  7;Public;F;Lennox & Addington (Ontario);Active - FLBG;40;1100;2;N;159.4;200.6;239.3;154-177;178-201;>201;standard (municipal, ≤2 voies, non urbain);0.1
52305;MTL-Ott;81.66;Alexandria - VIA;11.8;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;163.7;206.1;245.8;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);0.1
7991;MTL-TO;201.62;Kingston - CN;124.09;Oxford Ave;Public;F;Brockville (ON);Active - FLBG;40;1200;2;Y;159.2;200.4;239.0;154-177;178-201;>201;complexe (urbain / multi-voies / autorité provinciale);0.1
200;MTL-Ott;87.16;Alexandria - VIA;21.22;MacPhee Rd;Public;F;North Glengarry (ON);Active - FLBG;14;49;2;N;127.3;160.2;191.1;≤153;154-177;178-201;standard (municipal, ≤2 voies, non urbain);0.1
