troncon_id / section_id;scenario;scenario_label;devers_mm;devers_pouces;insuff_devers_mm;insuff_devers_pouces;coeff_k_vmax;longueur_totale_km / total_length_km;km_A (HSR pleine vitesse);pct_A (Full HSR);km_B (HSR léger);pct_B (Light HSR);km_C (HSR dégradé);pct_C (Degraded HSR);km_D (Inter-cité rapide);pct_D (Fast intercity);km_E (Inter-cité conventionnel);pct_E (Conventional intercity);km_F (Contraint sévèrement);pct_F (Severely constrained);km_HSR_utile (A+B+C, ≥200km/h);pct_HSR_utile;pct_HSR_utile_borne_haute_R_p50;pct_HSR_utile_par_segment_M2;DIAG_NON_OP_plafond_geom_kmh;DIAG_NON_OP_plafond_geom_mph;DIAG_NON_OP_vmax_med_pondL_kmh;DIAG_NON_OP_vmax_med_pondL_mph
MTL-QC;S1;Voie actuelle (VIA / Transport Canada) | Current track (VIA / Transport Canada);100;3.94;76;2.99;3.832;269.24;7.97;3.0;3.12;1.2;106.2;39.4;57.09;21.2;81.05;30.1;13.81;5.1;117.29;43.6;65.3;30.1;164.7;102.3;199.1;123.7
MTL-QC;S2;Pendulaire LRC, dévers max standard CN (5 po) | LRC tilting, CN standard maximum cant (5 in);127;5.0;152;5.98;4.824;269.24;72.92;27.1;72.53;26.9;36.43;13.5;38.58;14.3;44.85;16.7;3.93;1.5;181.88;67.6;86.1;61.2;207.2;128.7;250.7;155.8
MTL-QC;S3;Pendulaire moderne, insuffisance 270 mm (5 po de dévers) | Modern tilting, 270 mm cant deficiency (5 in cant);127;5.0;270;10.63;5.755;269.24;119.54;44.4;34.74;12.9;39.04;14.5;57.59;21.4;18.33;6.8;0.0;0.0;193.32;71.8;91.9;69.4;246.0;152.9;299.1;185.9
MTL-Ott;S1;Voie actuelle (VIA / Transport Canada) | Current track (VIA / Transport Canada);100;3.94;76;2.99;3.832;184.49;52.8;28.6;24.1;13.1;27.64;15.0;23.91;13.0;50.24;27.2;5.8;3.1;104.54;56.7;68.8;48.7;187.4;116.4;237.2;147.4
MTL-Ott;S2;Pendulaire LRC, dévers max standard CN (5 po) | LRC tilting, CN standard maximum cant (5 in);127;5.0;152;5.98;4.824;184.49;92.14;49.9;24.26;13.1;15.81;8.6;30.82;16.7;20.08;10.9;1.38;0.7;132.21;71.7;88.6;69.5;232.1;144.2;298.6;185.5
MTL-Ott;S3;Pendulaire moderne, insuffisance 270 mm (5 po de dévers) | Modern tilting, 270 mm cant deficiency (5 in cant);127;5.0;270;10.63;5.755;184.49;104.56;56.7;20.91;11.3;8.89;4.8;39.98;21.7;10.15;5.5;0.0;0.0;134.36;72.8;93.0;72.7;266.1;165.3;356.2;221.3
Ott-TO;S1;Voie actuelle (VIA / Transport Canada) | Current track (VIA / Transport Canada);100;3.94;76;2.99;3.832;441.83;58.56;13.3;50.25;11.4;131.47;29.8;106.79;24.2;83.32;18.9;11.44;2.6;240.28;54.4;80.3;36.8;193.2;120.0;200.5;124.6
Ott-TO;S2;Pendulaire LRC, dévers max standard CN (5 po) | LRC tilting, CN standard maximum cant (5 in);127;5.0;152;5.98;4.824;441.83;171.82;38.9;114.66;26.0;88.77;20.1;41.12;9.3;18.41;4.2;7.05;1.6;375.25;84.9;90.8;74.9;242.1;150.4;252.4;156.8
Ott-TO;S3;Pendulaire moderne, insuffisance 270 mm (5 po de dévers) | Modern tilting, 270 mm cant deficiency (5 in cant);127;5.0;270;10.63;5.755;441.83;259.22;58.7;68.31;15.5;83.97;19.0;14.0;3.2;16.33;3.7;0.0;0.0;411.5;93.1;96.0;85.1;282.4;175.5;301.1;187.1
MTL-TO;S1;Voie actuelle (VIA / Transport Canada) | Current track (VIA / Transport Canada);100;3.94;76;2.99;3.832;535.17;77.91;14.6;66.02;12.3;205.05;38.3;106.42;19.9;69.41;13.0;10.36;1.9;348.98;65.2;83.7;45.1;204.1;126.8;231.3;143.7
MTL-TO;S2;Pendulaire LRC, dévers max standard CN (5 po) | LRC tilting, CN standard maximum cant (5 in);127;5.0;152;5.98;4.824;535.17;249.44;46.6;133.79;25.0;90.85;17.0;35.06;6.6;19.94;3.7;6.09;1.1;474.08;88.6;93.1;80.5;255.5;158.8;291.3;181.0
MTL-TO;S3;Pendulaire moderne, insuffisance 270 mm (5 po de dévers) | Modern tilting, 270 mm cant deficiency (5 in cant);127;5.0;270;10.63;5.755;535.17;351.83;65.7;81.32;15.2;72.3;13.5;15.41;2.9;14.31;2.7;0.0;0.0;505.45;94.4;97.1;89.0;296.6;184.3;347.5;215.9
