troncon;scenario;bande_kmh;urbain_gtfs_min;urbain_fenetre_min;interurbain_min;arrets_min;n_arrets_interurbains;tbase_sans_marge_min;tbase_lo_min;tbase_hi_min;t_horaire_actuel_min
MTL-QC;S1;160;38.0;0.0;99.5;15.0;3;152.5;144.9;160.1;202.5
MTL-QC;S1;200;38.0;0.0;89.1;15.0;3;142.1;134.5;149.7;202.5
MTL-QC;S1;250;38.0;0.0;85.4;15.0;3;138.4;130.8;146.0;202.5
MTL-QC;S1;300;38.0;0.0;85.1;15.0;3;138.1;130.5;145.7;202.5
MTL-QC;S2;160;38.0;0.0;92.9;15.0;3;145.9;138.3;153.5;202.5
MTL-QC;S2;200;38.0;0.0;79.4;15.0;3;132.4;124.8;140.0;202.5
MTL-QC;S2;250;38.0;0.0;71.0;15.0;3;124.0;116.4;131.6;202.5
MTL-QC;S2;300;38.0;0.0;68.0;15.0;3;121.0;113.4;128.6;202.5
MTL-QC;S3;160;38.0;0.0;91.8;15.0;3;144.8;137.2;152.4;202.5
MTL-QC;S3;200;38.0;0.0;75.2;15.0;3;128.2;120.6;135.8;202.5
MTL-QC;S3;250;38.0;0.0;64.9;15.0;3;117.9;110.3;125.5;202.5
MTL-QC;S3;300;38.0;0.0;59.4;15.0;3;112.4;104.8;120.0;202.5
MTL-Ott;S1;160;23.5;4.5;63.6;15.0;3;106.6;101.0;112.2;122.0
MTL-Ott;S1;200;23.5;4.2;55.3;15.0;3;98.0;92.5;103.5;122.0
MTL-Ott;S1;250;23.5;3.9;50.2;15.0;3;92.6;87.1;98.1;122.0
MTL-Ott;S1;300;23.5;3.8;48.2;15.0;3;90.5;85.1;96.0;122.0
MTL-Ott;S2;160;23.5;4.5;59.6;15.0;3;102.5;96.9;108.1;122.0
MTL-Ott;S2;200;23.5;4.2;50.8;15.0;3;93.4;87.9;99.0;122.0
MTL-Ott;S2;250;23.5;3.9;44.1;15.0;3;86.6;81.1;92.1;122.0
MTL-Ott;S2;300;23.5;3.8;40.6;15.0;3;82.9;77.4;88.3;122.0
MTL-Ott;S3;160;23.5;4.5;59.0;15.0;3;102.0;96.4;107.6;122.0
MTL-Ott;S3;200;23.5;4.2;48.2;15.0;3;90.9;85.3;96.4;122.0
MTL-Ott;S3;250;23.5;3.9;41.3;15.0;3;83.7;78.2;89.2;122.0
MTL-Ott;S3;300;23.5;3.8;36.9;15.0;3;79.2;73.7;84.6;122.0
Ott-TO;S1;160;18.0;4.6;160.7;50.0;10;233.2;228.7;237.7;275.0
Ott-TO;S1;200;18.0;4.4;138.5;50.0;10;211.0;206.5;215.4;275.0
Ott-TO;S1;250;18.0;4.4;128.3;50.0;10;200.7;196.2;205.2;275.0
Ott-TO;S1;300;18.0;4.4;125.8;50.0;10;198.2;193.7;202.6;275.0
Ott-TO;S2;160;18.0;4.6;157.0;50.0;10;229.6;225.1;234.1;275.0
Ott-TO;S2;200;18.0;4.4;128.3;50.0;10;200.8;196.3;205.3;275.0
Ott-TO;S2;250;18.0;4.4;110.5;50.0;10;182.9;178.4;187.3;275.0
Ott-TO;S2;300;18.0;4.4;103.0;50.0;10;175.3;170.9;179.8;275.0
Ott-TO;S3;160;18.0;4.6;155.7;50.0;10;228.2;223.7;232.8;275.0
Ott-TO;S3;200;18.0;4.4;126.0;50.0;10;198.5;194.0;202.9;275.0
Ott-TO;S3;250;18.0;4.4;103.9;50.0;10;176.3;171.8;180.8;275.0
Ott-TO;S3;300;18.0;4.4;92.3;50.0;10;164.7;160.2;169.1;275.0
MTL-TO;S1;160;41.5;0.0;191.4;45.0;9;277.9;269.6;286.2;318.0
MTL-TO;S1;200;41.5;0.0;162.0;45.0;9;248.5;240.2;256.8;318.0
MTL-TO;S1;250;41.5;0.0;146.6;45.0;9;233.1;224.8;241.4;318.0
MTL-TO;S1;300;41.5;0.0;143.1;45.0;9;229.6;221.3;237.9;318.0
MTL-TO;S2;160;41.5;0.0;188.3;45.0;9;274.8;266.5;283.1;318.0
MTL-TO;S2;200;41.5;0.0;153.0;45.0;9;239.5;231.2;247.8;318.0
MTL-TO;S2;250;41.5;0.0;129.3;45.0;9;215.8;207.5;224.1;318.0
MTL-TO;S2;300;41.5;0.0;117.8;45.0;9;204.3;196.0;212.6;318.0
MTL-TO;S3;160;41.5;0.0;187.4;45.0;9;273.9;265.6;282.2;318.0
MTL-TO;S3;200;41.5;0.0;151.0;45.0;9;237.5;229.2;245.8;318.0
MTL-TO;S3;250;41.5;0.0;123.4;45.0;9;209.9;201.6;218.2;318.0
MTL-TO;S3;300;41.5;0.0;108.0;45.0;9;194.5;186.2;202.8;318.0
